hashed_row,title,price,categories
b145743153e688731a40020895f1253f,"Smart Light Bulbs [2 Pack], WiFi 2.4GHz & Bluetooth 5.0, Compatible w/ Alexa & Google Without Hub, Dimmable, Music Sync, Schedules, Color Changing Light Bulb RGBW Smart Bulb LED Bulb, A19/E26 9W 810LM",17.99,"['Tools & Home Improvement', 'Light Bulbs', 'LED Bulbs']"
707b7ea1fe2680bb87a0d0945f1f4da9,BerryGo Women's Boho V Neck Ruffle Floral Wrap Maxi Dress,46.99,"['Clothing, Shoes & Jewelry', 'Novelty & More', 'Clothing', 'Novelty', 'Women', 'Dresses']"
4df88f0c314aa4de8f99920bca63b6ef,"Elite Turkish Coffee with Cardamom, 3.5 oz (3 Pack)",14.69,"['Grocery & Gourmet Food', 'Pantry Staples', 'Herbs, Spices & Seasonings', 'Single Herbs & Spices', 'Cardamom Seed']"
4df88f0c314aa4de8f99920bca63b6ef,"Elite Turkish Coffee with Cardamom, 3.5 oz (3 Pack)",14.69,"['Grocery & Gourmet Food', 'Pantry Staples', 'Herbs, Spices & Seasonings', 'Single Herbs & Spices', 'Cardamom Seed']"
f16d7e774ddbe73255d379c1f260f2b6,"Klein Tools JTH6M3 3 mm Hex Key with Journeyman T-Handle, 6-Inch",3.99,"['Tools & Home Improvement', 'Power & Hand Tools', 'Hand Tools', 'Wrenches', 'Hex Keys']"
e932f656c6de8ea6244c8aadd4285aea,"NUFR 3 Feet Inflatable Penis and Pump Pack Blow Up Penis for Hen Party, Bachelor Party, Bachelorette Party , Bridal Shower Party Decorations and Games",13.99,"['Home & Kitchen', 'Event & Party Supplies', 'Decorations', 'Balloons']"
145745539a62e14631eb719c7e4578c6,"Table Top Penis Ring Toss Bachelorette Party Game, Same Penis Forever Favors, Divorce Party, Hen Party, Girls Night Out, Dick",12.99,"['Home & Kitchen', 'Event & Party Supplies', 'Party Games & Activities']"
6c37a71d691b1e0efde62fd522f4cf9a,"Gotega External DVD Drive, USB 3.0 Portable CD/DVD +/-RW Drive/DVD Player for Laptop CD ROM Burner Compatible with Laptop Desktop PC Windows Linux OS Apple Mac Black",22.99,"['Electronics', 'Computers & Accessories', 'Computer Components', 'External Components', 'Optical Drives', 'CD & DVD Drives']"
52515982011054349d6601ff4cd1cbfc,"Sun Shade Hardware Kit for Rectangle and Square Sun Shade Sails Installation,5 inch Heavy Duty Anti-Rust Sail Shade Hardware Kit with 50 ft Cable Wire Ropes",18.99,"['Patio, Lawn & Garden', 'Patio Furniture & Accessories', 'Umbrellas & Shade', 'Shade Sail Hardware']"
73b0d371f9c8d5571e1f409f5bead0bf,"KEYPOWER Cuckoo Clock Cuckoo Wall Clock,Cuckoo Bird Voices Call, Design Clock Pendulum, Bird House, Wall Art Home Living Room Kitchen Office Decoration (Green)",42.99,"['Home & Kitchen', 'Home Décor Products', 'Clocks', 'Specialty Clocks', 'Cuckoo Clocks']"
932eacd8f58f8815bdc510cd0b7b48dc,SUNNY GUARD Sun Shade Sail 16'5''x16'5''x16'5'' Triangle Terra UV Block Sunshade for Backyard Yard Deck Patio Garden Outdoor Activities and Facility(We Make Custom Size),39.99,"['Patio, Lawn & Garden', 'Patio Furniture & Accessories', 'Umbrellas & Shade', 'Shade Sails']"
ef72c11edf4e7b29c4c4f629514f372a,"Plackers Micro Mint Dental Flossers, Fresh Mint Flavor, Fold-Out Toothpick, Super Tuffloss, Easy Storage with Sure-Zip Seal, 150 Count",4.22,"['Health & Household', 'Oral Care', 'Dental Floss & Picks', 'Dental Floss']"
90ea874991bfea02c353a59d46778d35,"3Pack Dual Port USB-C Wall Plug-in USB Charger, AILKIN 20W Power Delivery + QC3.0 USB A Double Port Fast Charging Block for iPhone 14 13 12 Pro Max 14 Pro 12 Mini 14 11 Pro Max 14 Plus 11 SE X XS Cube",15.99,"['Cell Phones & Accessories', 'Accessories', 'Chargers & Power Adapters', 'Wall Chargers']"
63dfc0b460eca12e11a99441386f63d5,"SoftTouch 1"" x 60"" Heavy-Duty Self-Stick Felt Furniture Strip Roll - Protect Surfaces from Scratches & Damage, Beige (3 Pack)",15.27,"['Tools & Home Improvement', 'Hardware', 'Furniture Hardware', 'Furniture Pads']"
ec1ecbdbaf0fb111b817942a814bbb46,"Diaclara Designed for iPhone 14 Case, Full Body Rugged Case with Built-in Touch Sensitive Anti-Scratch Screen Protector, with Camera Lens Protector for iPhone 14 6.1"" (Lemon Yellow)",17.99,"['Cell Phones & Accessories', 'Cases, Holsters & Sleeves', 'Holsters']"
2f2048676bcb9f3ffc4c4372bc1393cd,Bearbay Baby Sock Shoes Rubber Sole Non-Skid Indoor Floor Slipper for Unisex Newborn Infants Toddlers Boys Girls,9.99,"['Clothing, Shoes & Jewelry', 'Baby', 'Baby Girls', 'Shoes', 'Slippers']"
468e331ab5ede77f5bd8494bc3cfa328,Gerber Baby Girls' 3-Pack Short Sleeve Tees,18.99,"['Clothing, Shoes & Jewelry', 'Baby', 'Baby Girls', 'Clothing', 'Tops', 'Tees']"
f682db0f1db91e9bd48dc61cf9f501d0,"Magnetic Dry Erase Refrigerator Calendar with Markers - 15"" x 11"" Monthly Fridge Calendar and Today List, Fridge Whiteboard with Back Magnet",9.99,"['Office Products', 'Office & School Supplies', 'Calendars, Planners & Personal Organizers', 'Planning Boards']"
d334639474bb4dd7f855ebbe6e5092e6,"Summer Infant, 3D Mini Convenience Stroller – Lightweight Stroller with Compact Fold MultiPosition Recline Canopy with Pop Out Sun Visor and More – Umbrella Stroller for Travel and More, Gray",59.99,"['Baby Products', 'Strollers & Accessories', 'Strollers', 'Lightweight']"
21122f373834b7b44e923f17a9acbcee,"GE home electrical 3-Outlet Power Strip, 12 Ft Extension Cord, 2 Prong, 16 Gauge, Twist-to-Close Safety Outlet Covers, Indoor Rated, Perfect for Home, Office or Kitchen, UL Listed, White, 51954",6.9,"['Tools & Home Improvement', 'Electrical', 'Cords, Adapters & Multi-Outlets', 'Extension Cords']"
1344a54e697f3f5ea77f47d12a48a4ed,"Greenies Pill Pockets, 30 Count, Chicken Flavor, 3 Pack",22.82,"['Pet Supplies', 'Dogs', 'Treats', 'Cookies, Biscuits & Snacks']"
d4568b727a9230167b1ee235827727c3,"JQK Toilet Paper Holder, 5 Inch 304 Stainless Steel Thick 0.8mm Tissue Paper Dispenser for Bathroom, Hold Mega Rolls, Brushed Nickel Wall Mount, TPH100-BN",10.99,"['Tools & Home Improvement', 'Hardware', 'Bathroom Hardware', 'Toilet Paper Holders']"
7bf81ff41800ae82699f9df8c26ebae8,Premom Pregnancy Test Strips- 30 Pack Early Detection Pregnancy Test Kit Powered by Premom Ovulation Predictor iOS and Android APP,11.0,"['Health & Household', 'Medical Supplies & Equipment', 'Home Tests', 'Family Planning Tests', 'Pregnancy Tests']"
7673a326fd6879f420e1aa43f48a52ed,"Speed Stick Men's Deodorant, Regular, 3 Ounce, 4 Pack",11.16,"['Beauty & Personal Care', 'Personal Care', 'Deodorants & Antiperspirants', 'Deodorant']"
a14c415a0b8526dbce713a2a2eb55bc8,"Turbo Bee 50 Pack 9oz Clear Plastic Cups,Disposable Crystal Drinking Cups,PET Plastic Party Cups for Wine,Juice,Iced Coffee and Cold Drinks",11.59,"['Health & Household', 'Household Supplies', 'Paper & Plastic', 'Disposable Drinkware', 'Cups']"
e6652819faaa11c7466e85ca568903c6,"FOCUSLINE 150pcs Compostable Heavy-Duty Paper Plates Set Eco-Friendly Natural Disposable Bagasse Plates Cutlery Includes Biodegradable Plates, Forks, Knives, Spoons for Parties, Camping, Picnic",21.99,"['Health & Household', 'Household Supplies', 'Paper & Plastic', 'Disposable Plates, Bowls & Cutlery', 'Plates']"
d43abe2026a819c54a6cc891e0ef66e2,"Decodinli Passover Party Supplies Serves 25, Passover Party Decorations, Passover Seder Plates and Napkins, Passover Themed Disposable Seder Plates and Cups, Passover Tableware Set",9.99,"['Home & Kitchen', 'Kitchen & Dining', 'Dining & Entertaining', 'Dinnerware & Serveware', 'Dinnerware', 'Plates', 'Specialty Plates', 'Seder Plates']"
8561bf114f755ddc6dc38d5faf76dfd1,"Munchkin® Sponge™ Bottle Brush, 2 Pack, Grey",7.98,"['Baby Products', 'Feeding', 'Bottle-Feeding', 'Bottle Cleaning', 'Bottle Brushes']"
26919409eb8ce8c7b5c9e1cd5d44e563,"Amazon Basics Kids Battery Powered Toothbrush, 2 Count, 1 Pack (Previously Solimo)",9.58,"['Health & Household', 'Oral Care', 'Baby & Child Dental Care', ""Children's Dental Care"", 'Electric Toothbrushes & Accessories', 'Electric Toothbrushes']"
21a5486ceb6db0bbbf24ede0fcb56322,"Hello Antiplaque Whitening Toothpaste, Fluoride Free Toothpaste for Teeth Whitening with Natural Peppermint Flavor and Tea Tree Oil, Peroxide Free, Gluten Free, SLS Free, 3 Pack, 4.7 OZ Tubes",13.79,"['Health & Household', 'Oral Care', 'Toothpaste']"
1a3845c23b21268d2fbef4261ff3ad36,"Dermaharmony 2% Pyrithione Zinc (ZnP) Bar Soap 4 oz - Crafted for Those with Skin Conditions - Seborrheic Dermatitis, Dandruff, Psoriasis, Eczema, etc.",8.59,"['Beauty & Personal Care', 'Skin Care', 'Body', 'Cleansers', 'Soaps']"
8f53c7f5508fb40780a19b14868fa5fe,"Leather Desk Pad Protector,Mouse Pad,Office Desk Mat, Non-Slip PU Leather Desk Blotter,Laptop Desk Pad,Waterproof Desk Writing Pad for Office and Home (31.5"" x 15.7"", Light Grey)",13.99,"['Office Products', 'Office & School Supplies', 'Desk Accessories & Workspace Organizers', 'Mouse Pads & Wrist Rests', 'Mouse Pads']"
a3cf438c70e401652adef92771a3e2c0,"Plugable Universal Laptop Docking Station, 4K Dual Monitor, DisplayPort or HDMI, Windows Mac or ChromeOS Laptops, USB-C or USB 3.0, Adds 2 Displays, Ethernet, Audio, 6 USB Ports",159.95,"['Electronics', 'Computers & Accessories', 'Laptop Accessories', 'Docking Stations']"
145f06fdf7fca0972d306bc464cc0020,Gardeneer by Dalen HammerEdge Pound in Edging - 16 Durable Interlocking Pieces -18 feet of Coverage - Made in USA - Easy to Install,34.85,"['Patio, Lawn & Garden', 'Gardening & Lawn Care', 'Plant Support Structures', 'Garden Edging']"
3535b1e9d52f0bd57143c6051718deed,"MISSHA M PERFECT COVER BB CREAM #21 SPF 42 PA+++, Multi-Function, High Coverage Makeup to help infuse moisture for firmer-looking skin with reduction in appearance of fine lines 50ml-Lightweight",12.0,"['Beauty & Personal Care', 'Makeup', 'Face', 'BB Creams']"
