title,price,categories
"Smart Light Bulbs [2 Pack], WiFi 2.4GHz & Bluetooth 5.0, Compatible w/ Alexa & Google Without Hub, Dimmable, Music Sync, Schedules, Color Changing Light Bulb RGBW Smart Bulb LED Bulb, A19/E26 9W 810LM",17.99,"['Tools & Home Improvement', 'Light Bulbs', 'LED Bulbs']"
BerryGo Women's Boho V Neck Ruffle Floral Wrap Maxi Dress,46.99,"['Clothing, Shoes & Jewelry', 'Novelty & More', 'Clothing', 'Novelty', 'Women', 'Dresses']"
"Elite Turkish Coffee with Cardamom, 3.5 oz (3 Pack)",14.69,"['Grocery & Gourmet Food', 'Pantry Staples', 'Herbs, Spices & Seasonings', 'Single Herbs & Spices', 'Cardamom Seed']"
"Elite Turkish Coffee with Cardamom, 3.5 oz (3 Pack)",14.69,"['Grocery & Gourmet Food', 'Pantry Staples', 'Herbs, Spices & Seasonings', 'Single Herbs & Spices', 'Cardamom Seed']"
"Klein Tools JTH6M3 3 mm Hex Key with Journeyman T-Handle, 6-Inch",3.99,"['Tools & Home Improvement', 'Power & Hand Tools', 'Hand Tools', 'Wrenches', 'Hex Keys']"
"NUFR 3 Feet Inflatable Penis and Pump Pack Blow Up Penis for Hen Party, Bachelor Party, Bachelorette Party , Bridal Shower Party Decorations and Games",13.99,"['Home & Kitchen', 'Event & Party Supplies', 'Decorations', 'Balloons']"
"Table Top Penis Ring Toss Bachelorette Party Game, Same Penis Forever Favors, Divorce Party, Hen Party, Girls Night Out, Dick",12.99,"['Home & Kitchen', 'Event & Party Supplies', 'Party Games & Activities']"
"Gotega External DVD Drive, USB 3.0 Portable CD/DVD +/-RW Drive/DVD Player for Laptop CD ROM Burner Compatible with Laptop Desktop PC Windows Linux OS Apple Mac Black",22.99,"['Electronics', 'Computers & Accessories', 'Computer Components', 'External Components', 'Optical Drives', 'CD & DVD Drives']"
"Sun Shade Hardware Kit for Rectangle and Square Sun Shade Sails Installation,5 inch Heavy Duty Anti-Rust Sail Shade Hardware Kit with 50 ft Cable Wire Ropes",18.99,"['Patio, Lawn & Garden', 'Patio Furniture & Accessories', 'Umbrellas & Shade', 'Shade Sail Hardware']"
"KEYPOWER Cuckoo Clock Cuckoo Wall Clock,Cuckoo Bird Voices Call, Design Clock Pendulum, Bird House, Wall Art Home Living Room Kitchen Office Decoration (Green)",42.99,"['Home & Kitchen', 'Home Décor Products', 'Clocks', 'Specialty Clocks', 'Cuckoo Clocks']"
SUNNY GUARD Sun Shade Sail 16'5''x16'5''x16'5'' Triangle Terra UV Block Sunshade for Backyard Yard Deck Patio Garden Outdoor Activities and Facility(We Make Custom Size),39.99,"['Patio, Lawn & Garden', 'Patio Furniture & Accessories', 'Umbrellas & Shade', 'Shade Sails']"
"Plackers Micro Mint Dental Flossers, Fresh Mint Flavor, Fold-Out Toothpick, Super Tuffloss, Easy Storage with Sure-Zip Seal, 150 Count",4.22,"['Health & Household', 'Oral Care', 'Dental Floss & Picks', 'Dental Floss']"
"3Pack Dual Port USB-C Wall Plug-in USB Charger, AILKIN 20W Power Delivery + QC3.0 USB A Double Port Fast Charging Block for iPhone 14 13 12 Pro Max 14 Pro 12 Mini 14 11 Pro Max 14 Plus 11 SE X XS Cube",15.99,"['Cell Phones & Accessories', 'Accessories', 'Chargers & Power Adapters', 'Wall Chargers']"
"SoftTouch 1"" x 60"" Heavy-Duty Self-Stick Felt Furniture Strip Roll - Protect Surfaces from Scratches & Damage, Beige (3 Pack)",15.27,"['Tools & Home Improvement', 'Hardware', 'Furniture Hardware', 'Furniture Pads']"
"Diaclara Designed for iPhone 14 Case, Full Body Rugged Case with Built-in Touch Sensitive Anti-Scratch Screen Protector, with Camera Lens Protector for iPhone 14 6.1"" (Lemon Yellow)",17.99,"['Cell Phones & Accessories', 'Cases, Holsters & Sleeves', 'Holsters']"
Bearbay Baby Sock Shoes Rubber Sole Non-Skid Indoor Floor Slipper for Unisex Newborn Infants Toddlers Boys Girls,9.99,"['Clothing, Shoes & Jewelry', 'Baby', 'Baby Girls', 'Shoes', 'Slippers']"
Gerber Baby Girls' 3-Pack Short Sleeve Tees,18.99,"['Clothing, Shoes & Jewelry', 'Baby', 'Baby Girls', 'Clothing', 'Tops', 'Tees']"
"Magnetic Dry Erase Refrigerator Calendar with Markers - 15"" x 11"" Monthly Fridge Calendar and Today List, Fridge Whiteboard with Back Magnet",9.99,"['Office Products', 'Office & School Supplies', 'Calendars, Planners & Personal Organizers', 'Planning Boards']"
"Summer Infant, 3D Mini Convenience Stroller – Lightweight Stroller with Compact Fold MultiPosition Recline Canopy with Pop Out Sun Visor and More – Umbrella Stroller for Travel and More, Gray",59.99,"['Baby Products', 'Strollers & Accessories', 'Strollers', 'Lightweight']"
"GE home electrical 3-Outlet Power Strip, 12 Ft Extension Cord, 2 Prong, 16 Gauge, Twist-to-Close Safety Outlet Covers, Indoor Rated, Perfect for Home, Office or Kitchen, UL Listed, White, 51954",6.9,"['Tools & Home Improvement', 'Electrical', 'Cords, Adapters & Multi-Outlets', 'Extension Cords']"
"Greenies Pill Pockets, 30 Count, Chicken Flavor, 3 Pack",22.82,"['Pet Supplies', 'Dogs', 'Treats', 'Cookies, Biscuits & Snacks']"
"JQK Toilet Paper Holder, 5 Inch 304 Stainless Steel Thick 0.8mm Tissue Paper Dispenser for Bathroom, Hold Mega Rolls, Brushed Nickel Wall Mount, TPH100-BN",10.99,"['Tools & Home Improvement', 'Hardware', 'Bathroom Hardware', 'Toilet Paper Holders']"
Premom Pregnancy Test Strips- 30 Pack Early Detection Pregnancy Test Kit Powered by Premom Ovulation Predictor iOS and Android APP,11.0,"['Health & Household', 'Medical Supplies & Equipment', 'Home Tests', 'Family Planning Tests', 'Pregnancy Tests']"
"Speed Stick Men's Deodorant, Regular, 3 Ounce, 4 Pack",11.16,"['Beauty & Personal Care', 'Personal Care', 'Deodorants & Antiperspirants', 'Deodorant']"
"Turbo Bee 50 Pack 9oz Clear Plastic Cups,Disposable Crystal Drinking Cups,PET Plastic Party Cups for Wine,Juice,Iced Coffee and Cold Drinks",11.59,"['Health & Household', 'Household Supplies', 'Paper & Plastic', 'Disposable Drinkware', 'Cups']"
"FOCUSLINE 150pcs Compostable Heavy-Duty Paper Plates Set Eco-Friendly Natural Disposable Bagasse Plates Cutlery Includes Biodegradable Plates, Forks, Knives, Spoons for Parties, Camping, Picnic",21.99,"['Health & Household', 'Household Supplies', 'Paper & Plastic', 'Disposable Plates, Bowls & Cutlery', 'Plates']"
"Decodinli Passover Party Supplies Serves 25, Passover Party Decorations, Passover Seder Plates and Napkins, Passover Themed Disposable Seder Plates and Cups, Passover Tableware Set",9.99,"['Home & Kitchen', 'Kitchen & Dining', 'Dining & Entertaining', 'Dinnerware & Serveware', 'Dinnerware', 'Plates', 'Specialty Plates', 'Seder Plates']"
"Munchkin® Sponge™ Bottle Brush, 2 Pack, Grey",7.98,"['Baby Products', 'Feeding', 'Bottle-Feeding', 'Bottle Cleaning', 'Bottle Brushes']"
"Amazon Basics Kids Battery Powered Toothbrush, 2 Count, 1 Pack (Previously Solimo)",9.58,"['Health & Household', 'Oral Care', 'Baby & Child Dental Care', ""Children's Dental Care"", 'Electric Toothbrushes & Accessories', 'Electric Toothbrushes']"
"Hello Antiplaque Whitening Toothpaste, Fluoride Free Toothpaste for Teeth Whitening with Natural Peppermint Flavor and Tea Tree Oil, Peroxide Free, Gluten Free, SLS Free, 3 Pack, 4.7 OZ Tubes",13.79,"['Health & Household', 'Oral Care', 'Toothpaste']"
"Dermaharmony 2% Pyrithione Zinc (ZnP) Bar Soap 4 oz - Crafted for Those with Skin Conditions - Seborrheic Dermatitis, Dandruff, Psoriasis, Eczema, etc.",8.59,"['Beauty & Personal Care', 'Skin Care', 'Body', 'Cleansers', 'Soaps']"
"Leather Desk Pad Protector,Mouse Pad,Office Desk Mat, Non-Slip PU Leather Desk Blotter,Laptop Desk Pad,Waterproof Desk Writing Pad for Office and Home (31.5"" x 15.7"", Light Grey)",13.99,"['Office Products', 'Office & School Supplies', 'Desk Accessories & Workspace Organizers', 'Mouse Pads & Wrist Rests', 'Mouse Pads']"
"Plugable Universal Laptop Docking Station, 4K Dual Monitor, DisplayPort or HDMI, Windows Mac or ChromeOS Laptops, USB-C or USB 3.0, Adds 2 Displays, Ethernet, Audio, 6 USB Ports",159.95,"['Electronics', 'Computers & Accessories', 'Laptop Accessories', 'Docking Stations']"
Gardeneer by Dalen HammerEdge Pound in Edging - 16 Durable Interlocking Pieces -18 feet of Coverage - Made in USA - Easy to Install,34.85,"['Patio, Lawn & Garden', 'Gardening & Lawn Care', 'Plant Support Structures', 'Garden Edging']"
"MISSHA M PERFECT COVER BB CREAM #21 SPF 42 PA+++, Multi-Function, High Coverage Makeup to help infuse moisture for firmer-looking skin with reduction in appearance of fine lines 50ml-Lightweight",12.0,"['Beauty & Personal Care', 'Makeup', 'Face', 'BB Creams']"
"Maybelline New York Dream Fresh Skin Hydrating BB cream, 8-in-1 Skin Perfecting Beauty Balm with Broad Spectrum SPF 30, Sheer Tint Coverage, Oil-Free, Light/Medium, 1 Fl Oz",7.11,"['Beauty & Personal Care', 'Makeup', 'Face', 'BB Creams']"
Bachelorette Fanny Pack Set (12 pack) Includes Bride Fanny Pack I Fanny Packs for Bachelorette Party Favors I Bride Tribe Funny Fanny Packs,54.99,"['Clothing, Shoes & Jewelry', 'Luggage & Travel Gear', 'Waist Packs']"
"Elite Turkish Coffee with Cardamom, 3.5 oz (3 Pack)",14.69,"['Grocery & Gourmet Food', 'Pantry Staples', 'Herbs, Spices & Seasonings', 'Single Herbs & Spices', 'Cardamom Seed']"
"Love-KANKEI Floating Shelves for Coffee Bar,Bathroom Shelves with Towel Bar, Wall Shelves with 8 Hooks for Kitchen, 17.3 Inch Storage Shelves Set of 2 for Bedroom,Living Room，Black",26.99,"['Home & Kitchen', 'Home Décor Products', 'Home Décor Accents', 'Floating Shelves']"
"Zwolf Strong Adhesive Mount for YI Pan-Tilt Security Camera , No Hole Needed , Perfect View Angle for Yi Home 360 Degree Indoor Pet Cam (Pack of 2)",19.99,"['Electronics', 'Security & Surveillance', 'Accessories', 'Surveillance Housing & Mounting Brackets']"
"NUK Smooth Flow Anti Colic Baby Bottle Nipples, Size 2 (6+ Months), Medium Flow, 2 Pack",8.93,"['Baby Products', 'Feeding', 'Bottle-Feeding', 'Nipples']"
"JORIKCHUO Nursery Book Shelves, Set of 2 Wood Floating Book Shelves for Kids Room, Kitchen Spice Rack, or Rustic Wall Mounted Shelves for Farmhouse Bathroom Decor (Natural Wood)",17.99,"['Home & Kitchen', 'Home Décor Products', 'Home Décor Accents', 'Floating Shelves']"
"DEXDE Bathroom Rugs Non-Slip Bath Mat, Luxury Soft Absorbent Plush Microfiber Bath mats for Bathroom, Washable Boho Bathroom Rugs, Carpet for Tub, Shower,20""x32"", Beige",25.99,"['Home & Kitchen', 'Bath', 'Bath Rugs']"
NIOIIKIT Nursery Rocking Chair Teddy Upholstered Glider Rocker Rocking Accent Chair Padded Seat with High Backrest Armchair Comfy Side Chair for Living Room Bedroom Offices (Yellow Teddy),159.99,"['Home & Kitchen', 'Furniture', 'Game & Recreation Room Furniture', 'Gliders']"
"mDesign 35.3"" High Steel Frame/Wood Top Storage Dresser Furniture Unit, 8 Removable Slim Fabric Drawers - Tall Bureau Organizer for Bedroom, Living Room, Closet - Lido Collection, Black/Dark Gray",66.99,"['Home & Kitchen', 'Storage & Organization', 'Racks, Shelves & Drawers', 'Storage Drawer Units']"
40pcs Baby Hair Clips Tiny Bow Hair Clips for Newborn No Slip Toddler Mini Hair Bow Barrettes Hair Accessories for Baby Fine Hair Girls Infant Toddlers,11.99,"['Baby Products', 'Baby Care', 'Hair Care', 'Hair Accessories', 'Clips']"
Sing a Song of Sunshine (Interactive Early Bird Children's Song Book with 10 Sing-Along Tunes),19.99,"['Books', ""Children's Books"", 'Arts, Music & Photography']"
Bedtime Songs: 11-Button Interactive Children's Sound Book (Early Bird Song),14.6,"['Books', ""Children's Books"", 'Arts, Music & Photography']"
